,precision,recall,f1-score,support
Adequate,0.6447280053727333,0.9118974115412016,0.7553850693419888,4211.0
Effective,0.7101200686106347,0.4420715429791778,0.5449160908193484,1873.0
Ineffective,0.6130434782608696,0.111198738170347,0.1882510013351135,1268.0
accuracy,0.654107725788901,0.654107725788901,0.654107725788901,0.654107725788901
macro avg,0.6559638507480792,0.48838923089690883,0.49618405383215025,7352.0
weighted avg,0.6559226944460121,0.654107725788901,0.6039522082149998,7352.0
