feature,importance
anachronism nondemocratic,-0.4385720808841444
anatomy,0.37753752344096075
ancient,0.06632163182575826
andor,-0.3722195402084704
anger,0.26992229231840487
anger disgust,0.3732187570823168
angry,0.11455766740019077
animal,-0.11973867360354075
animals,0.0831507823817316
another,-0.137697282069752
another example,-0.38665054192760656
another martian,0.30283254435757984
another person,0.34289530400765794
another planet,-0.3133644548006446
another reason,-0.06388947953057962
another student,-0.34042171337883154
another thing,0.06207320979514117
another way,0.5433669042346303
answer,-0.11918851410012034
answers,0.8339233699717384
anxiety,-0.35559406445789954
anxious,-0.7221416064887067
anybody,0.9436974308808751
anymore,-0.41397705390122197
anyone,0.22245098018961287
anything,0.1628835214255692
anything else,-0.34608133035178246
anything humans,-0.13989230282826368
anytime,-0.019138445420744516
anyway,0.22843865673197897
anyways,-0.1336825016674424
anywhere,0.5263419373468603
ap,-0.4223919984033616
apart,0.7516902685136981
appeal,0.213044929416076
appear,-0.02997707723840408
appeared,-0.187995026954147
appears,-0.19043545145809831
appears screen,-0.3520366723171463
applied,-0.09147408163445721
apply,-0.735430501040096
applying,0.10502954547150278
appreciate,-0.4640051994742997
approach,0.029348916371826652
approaches,0.24455451673273068
appropriate,0.5995073653332588
april,0.09264366358691781
april mars,0.33815537186760103
area,0.4107330438250202
areas,0.1687857378353292
areas united,-0.14320051784373247
arent,-0.12857781939922977
argue,-0.5227084380312109
argued,0.30437027441348563
argued electoral,-0.0381792064737886
arguement,-0.6062808666657487
arguing,-0.3903413329537869
argument,0.3099024431191418
argument electoral,-0.09533600213625786
arguments,-0.21697186850801545
arguments favor,-0.13740989546314744
around,-0.07814446521861979
around american,0.4385229101378826
around degrees,0.021507382305969422
around school,-0.3338154950226817
around world,-0.2606591834309449
art,-0.03370111819676466
artical,0.5447710162001628
article,-0.11874869211795865
article author,0.05198823244649939
article challenge,-0.44543379044571924
article making,-0.11818006533628354
article says,0.8006776313616097
article states,0.7897040059982614
artifact,0.23169278322218917
ascertainment,-0.020446069572339826
ask,0.10825310684937875
ask advice,0.2339023633004677
ask help,0.14582262067702612
ask multiple,0.5447802459057495
ask one,-0.17475681327471176
ask people,-0.2720275854010693
ask questions,0.1972656320460592
ask someone,-0.7331347072468305
asked,-0.944406075087107
asking,-0.5986781794828784
