,precision,recall,f1-score,support
Adequate,0.6596419246549795,0.8399430064117787,0.7389533061736133,4211.0
Effective,0.6641586867305062,0.5184196476241324,0.5823088455772114,1873.0
Ineffective,0.5,0.2082018927444795,0.29398663697104677,1268.0
accuracy,0.6490750816104461,0.6490750816104461,0.6490750816104461,0.6490750816104461
macro avg,0.6079335371284952,0.5221881822601302,0.5384162629072905,7352.0
weighted avg,0.6332591628085361,0.6490750816104461,0.6223030326091525,7352.0
