,precision,recall,f1-score,support
Adequate,0.6636019469983775,0.8741391593445738,0.7544578807132609,4211.0
Effective,0.6906807666886979,0.5579284570208222,0.6172474896633195,1873.0
Ineffective,0.6301369863013698,0.14511041009463724,0.2358974358974359,1268.0
accuracy,0.6678454842219804,0.6678454842219804,0.6678454842219804,0.6678454842219804
macro avg,0.6614732333294818,0.5257260088200111,0.5358676020913388,7352.0
weighted avg,0.6647288592829483,0.6678454842219804,0.6300659184631241,7352.0
