,precision,recall,f1-score,support
Adequate,0.6623307198859587,0.8826881975777725,0.756795276392141,4211.0
Effective,0.7013076393668273,0.5440469834490123,0.6127480457005412,1873.0
Ineffective,0.6411149825783972,0.14511041009463724,0.23665594855305466,1268.0
accuracy,0.6692056583242655,0.6692056583242655,0.6692056583242655,0.6692056583242655
macro avg,0.6682511139437278,0.5239485303738073,0.5353997568819122,7352.0
weighted avg,0.6686014238143699,0.6692056583242655,0.6303892466335272,7352.0
